Rank,Team,Wins,Losses,Perc,Sets Played,Kills,Errors,Attempts,Perc,,,,,,,,,,,
-,Virginia Tech,10,13,0.435,82,986,407,2701,0.214,,,,,,,,,,,
-,Wake Forest,10,13,0.435,82,1067,469,2822,0.212,,,,,,,,,,,
227,Gardner-Webb,12,16,0.429,104,1245,581,4156,0.16,,,,,,,,,,,
-,Siena,12,16,0.429,106,1236,475,3633,0.209,,,,,,,,,,,
-,New Hampshire,9,12,0.429,81,931,347,2636,0.222,,,,,,,,,,,
-,Northeastern,9,12,0.429,83,1083,416,2842,0.235,,,,,,,,,,,
231,Loyola Chicago,11,15,0.423,104,1315,588,3707,0.196,,,,,,,,,,,
-,Nicholls,11,15,0.423,87,1006,444,2870,0.196,,,,,,,,,,,
-,Ohio,11,15,0.423,99,1280,602,3533,0.192,,,,,,,,,,,
-,Southern U.,11,15,0.423,92,981,526,2966,0.153,,,,,,,,,,,
235,Canisius,10,14,0.417,96,1155,551,3372,0.179,,,,,,,,,,,
-,Davidson,10,14,0.417,91,1191,560,3345,0.189,,,,,,,,,,,
-,Illinois St.,10,14,0.417,87,1127,518,3141,0.194,,,,,,,,,,,
-,Middle Tenn.,10,14,0.417,93,1071,533,3123,0.172,,,,,,,,,,,
-,Samford,10,14,0.417,90,1115,420,3035,0.229,,,,,,,,,,,
-,UC Irvine,10,14,0.417,85,996,464,2966,0.179,,,,,,,,,,,
241,Bucknell,9,13,0.409,85,1019,435,2843,0.205,,,,,,,,,,,
-,South Carolina,9,13,0.409,83,1051,465,2780,0.211,,,,,,,,,,,
243,Delaware St.,10,15,0.4,86,992,466,2653,0.198,,,,,,,,,,,
-,North Florida,10,15,0.4,100,1253,571,3521,0.194,,,,,,,,,,,
-,Notre Dame,8,12,0.4,72,875,372,2352,0.214,,,,,,,,,,,
246,Hawaii,9,14,0.391,84,1034,471,2871,0.196,,,,,,,,,,,
-,William & Mary,9,14,0.391,87,979,427,2848,0.194,,,,,,,,,,,
248,Southern Ill.,10,16,0.385,103,1314,522,3735,0.212,,,,,,,,,,,
-,ULM,10,16,0.385,91,1019,516,3318,0.152,,,,,,,,,,,
250,Saint Mary's (CA),8,13,0.381,86,1027,474,2724,0.203,,,,,,,,,,,
251,A&M-Corpus Christi,9,15,0.375,89,1177,415,3099,0.246,,,,,,,,,,,
-,Alabama St.,9,15,0.375,86,1062,478,2856,0.204,,,,,,,,,,,
-,Fordham,9,15,0.375,87,932,433,3037,0.164,,,,,,,,,,,
-,Indiana St.,9,15,0.375,88,1128,465,3195,0.208,,,,,,,,,,,
-,N.C. Central,9,15,0.375,90,1031,479,3194,0.173,,,,,,,,,,,
-,Stetson,9,15,0.375,99,1152,499,3419,0.191,,,,,,,,,,,
-,UMES,9,15,0.375,95,1014,520,2885,0.171,,,,,,,,,,,
258,Houston,8,14,0.364,79,946,370,2698,0.213,,,,,,,,,,,
-,Maryland,8,14,0.364,84,934,449,2722,0.178,,,,,,,,,,,
260,Robert Morris,9,16,0.36,96,1128,537,3496,0.169,,,,,,,,,,,
261,Memphis,10,18,0.357,100,1205,620,3301,0.177,,,,,,,,,,,
262,Dartmouth,7,13,0.35,71,759,390,2480,0.149,,,,,,,,,,,
-,Omaha,7,13,0.35,74,933,356,2483,0.232,,,,,,,,,,,
264,Buffalo,8,15,0.348,87,1044,481,2938,0.192,,,,,,,,,,,
265,Central Mich.,9,17,0.346,92,1130,494,3023,0.21,,,,,,,,,,,
-,Texas Southern,9,17,0.346,95,1018,558,3088,0.149,,,,,,,,,,,
267,Florida A&M,8,16,0.333,91,992,463,2933,0.18,,,,,,,,,,,
-,UNC Asheville,8,16,0.333,89,1048,476,3252,0.176,,,,,,,,,,,
-,Delaware,7,14,0.333,77,871,402,2492,0.188,,,,,,,,,,,
270,Iona,9,19,0.321,110,1260,687,4141,0.138,,,,,,,,,,,
271,Green Bay,8,17,0.32,94,1160,480,3429,0.198,,,,,,,,,,,
-,Kent St.,8,17,0.32,90,1083,494,3215,0.183,,,,,,,,,,,
-,Mercer,8,17,0.32,87,1038,493,3091,0.176,,,,,,,,,,,
-,Radford,8,17,0.32,92,1074,549,3139,0.167,,,,,,,,,,,
-,Sam Houston,8,17,0.32,104,1221,546,3599,0.188,,,,,,,,,,,
-,St. John's (NY),8,17,0.32,94,1069,565,3075,0.164,,,,,,,,,,,
277,Idaho St.,7,15,0.318,85,1019,459,3058,0.183,,,,,,,,,,,
-,Nevada,7,15,0.318,79,947,504,2755,0.161,,,,,,,,,,,
-,Pacific,7,15,0.318,80,920,528,2776,0.141,,,,,,,,,,,
-,UC Riverside,7,15,0.318,82,924,462,2851,0.162,,,,,,,,,,,
281,Louisiana Tech,8,18,0.308,95,1010,502,3019,0.168,,,,,,,,,,,
-,Marist,8,18,0.308,92,1071,545,3046,0.173,,,,,,,,,,,
-,Sacred Heart,8,18,0.308,100,1209,643,3586,0.158,,,,,,,,,,,
284,East Texas A&M,7,16,0.304,85,977,409,3121,0.182,,,,,,,,,,,
-,North Dakota,7,16,0.304,84,914,482,2687,0.161,,,,,,,,,,,
-,Western Caro.,7,16,0.304,81,1006,456,2979,0.185,,,,,,,,,,,
287,Troy,6,14,0.3,75,967,460,2608,0.194,,,,,,,,,,,
288,Cal St. Fullerton,7,17,0.292,84,912,467,2924,0.152,,,,,,,,,,,
-,Central Conn. St.,7,17,0.292,88,1044,535,2950,0.173,,,,,,,,,,,
290,California Baptist,6,15,0.286,81,883,468,2534,0.164,,,,,,,,,,,
-,Seattle U,6,15,0.286,86,933,504,2646,0.162,,,,,,,,,,,
-,Vanderbilt,6,15,0.286,83,1059,458,2782,0.216,,,,,,,,,,,
293,McNeese,7,18,0.28,95,1069,526,3316,0.164,,,,,,,,,,,
-,New Orleans,7,18,0.28,88,1041,445,3011,0.198,,,,,,,,,,,
-,Saint Peter's,7,18,0.28,98,1094,618,3423,0.139,,,,,,,,,,,
-,Western Ill.,7,18,0.28,98,1049,469,3362,0.173,,,,,,,,,,,
297,Harvard,5,13,0.278,63,704,339,1903,0.192,,,,,,,,,,,
298,Holy Cross,8,21,0.276,112,1253,620,3731,0.17,,,,,,,,,,,
299,California,6,16,0.273,85,973,514,2900,0.158,,,,,,,,,,,
-,Loyola Maryland,6,16,0.273,85,959,514,3110,0.143,,,,,,,,,,,
301,Oakland,7,19,0.269,95,1160,498,3702,0.179,,,,,,,,,,,
302,Fresno St.,6,17,0.261,78,919,374,2638,0.207,,,,,,,,,,,
-,Presbyterian,6,17,0.261,85,995,478,3280,0.158,,,,,,,,,,,
-,Seton Hall,6,17,0.261,87,1005,450,2905,0.191,,,,,,,,,,,
305,Milwaukee,7,20,0.259,89,1055,486,3109,0.183,,,,,,,,,,,
306,Evansville,6,18,0.25,93,1091,591,3410,0.147,,,,,,,,,,,
-,LMU (CA),5,15,0.25,77,867,447,2673,0.157,,,,,,,,,,,
308,Cleveland St.,6,19,0.24,85,918,470,3137,0.143,,,,,,,,,,,
309,Grambling,5,17,0.227,68,694,402,2150,0.136,,,,,,,,,,,
-,Idaho,5,17,0.227,87,1026,525,3103,0.161,,,,,,,,,,,
311,Arkansas,5,18,0.217,89,1088,453,3055,0.208,,,,,,,,,,,
-,Duke,5,18,0.217,82,1015,487,2975,0.177,,,,,,,,,,,
-,Elon,5,18,0.217,82,916,457,2731,0.168,,,,,,,,,,,
-,Old Dominion,5,18,0.217,85,995,535,2981,0.154,,,,,,,,,,,
315,Stonehill,6,22,0.214,109,1185,654,3400,0.156,,,,,,,,,,,
316,South Carolina St.,5,19,0.208,81,710,415,2414,0.122,,,,,,,,,,,
-,UC San Diego,5,19,0.208,93,1153,605,3294,0.166,,,,,,,,,,,
318,CSU Bakersfield,5,20,0.2,90,1061,508,3197,0.173,,,,,,,,,,,
-,Mississippi Val.,4,16,0.2,65,591,399,1989,0.097,,,,,,,,,,,
320,Rhode Island,5,21,0.192,94,981,530,3054,0.148,,,,,,,,,,,
321,Murray St.,4,17,0.19,81,910,403,2747,0.185,,,,,,,,,,,
322,Lafayette,4,18,0.182,79,856,407,2900,0.155,,,,,,,,,,,
-,UNCW,4,18,0.182,77,749,443,2559,0.12,,,,,,,,,,,
324,NJIT,4,19,0.174,90,1009,508,3138,0.16,,,,,,,,,,,
325,Austin Peay,4,20,0.167,92,1002,534,2992,0.156,,,,,,,,,,,
326,Ohio St.,3,17,0.15,74,862,432,2417,0.178,,,,,,,,,,,
327,San Francisco,3,18,0.143,76,856,365,2470,0.199,,,,,,,,,,,
328,Kansas City,3,21,0.125,86,890,474,2924,0.142,,,,,,,,,,,
-,Manhattan,3,21,0.125,88,924,447,2923,0.163,,,,,,,,,,,
330,Norfolk St.,3,22,0.12,90,862,435,2725,0.157,,,,,,,,,,,
-,Purdue Fort Wayne,3,22,0.12,92,1108,541,3284,0.173,,,,,,,,,,,
332,Columbia,2,18,0.1,72,836,386,2405,0.187,,,,,,,,,,,
-,Southern Utah,2,18,0.1,76,781,482,2471,0.121,,,,,,,,,,,
334,Eastern Wash.,2,20,0.091,83,808,427,2627,0.145,,,,,,,,,,,
335,UT Martin,2,21,0.087,86,898,558,3064,0.111,,,,,,,,,,,
